Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,1.2,"Houston, TX","Percentage of births under 2,500 grams.","Percent in Harris County. Source: Texas Birth Statistics for Harris. Available at http://soupfin.tdh.state.tx.us/birth05.htm.Accessed on May 20, 2015online.",,"Harris County data, not just Houston",,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,10.2,"Washington, DC","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,6.5,"Washington, DC","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,6.7,"Washington, DC","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,3.1,"Houston, TX","Percentage of births under 2,500 grams.","Percent in Harris County. Source: Texas Birth Statistics for Harris. Available at http://soupfin.tdh.state.tx.us/birth05.htm.Accessed on May 20, 2015online.",,"Harris County data, not just Houston",,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,15.9,"Cleveland, OH","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,10.4,"Cleveland, OH","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,11.1,"Columbus, OH","Percentage of births under 2,500 grams.",Ohio Department of Health Vital Statistics Data Analyzed by Columbus Public Health,,,,,10.5,11.7
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,8.5,"Columbus, OH","Percentage of births under 2,500 grams.",Ohio Department of Health Vital Statistics Data Analyzed by Columbus Public Health,,,,,5.4,11.7
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,13.8,"Columbus, OH","Percentage of births under 2,500 grams.",Ohio Department of Health Vital Statistics Data Analyzed by Columbus Public Health,,,,,12.7,15.0
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,7.6,"Columbus, OH","Percentage of births under 2,500 grams.",Ohio Department of Health Vital Statistics Data Analyzed by Columbus Public Health,,,,,5.8,9.4
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,13.3,"Columbus, OH","Percentage of births under 2,500 grams.",Ohio Department of Health Vital Statistics Data Analyzed by Columbus Public Health,,Includes Unknown Race,,,10.0,16.6
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,9.5,"Columbus, OH","Percentage of births under 2,500 grams.",Ohio Department of Health Vital Statistics Data Analyzed by Columbus Public Health,,,,,8.7,10.4
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,7.4,"Washington, DC","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,12.2,"Minneapolis, MN","Percentage of births under 2,500 grams.","Minnesota Department of Health, Vital Records","Multiple births were included in these analyses, consistent with Big Cities methodology. The City of Minneapolis (and Hennepin County) also produce analyses of low birth weight for singleton births only.",,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,9.0,"Cleveland, OH","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,6.8,"Los Angeles, CA","Percentage of births under 2,500 grams.","California Department of Public Health, Center for Health Statistics, OHIR Vital Statistics Section, 2010-13",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,10.7,"Los Angeles, CA","Percentage of births under 2,500 grams.","California Department of Public Health, Center for Health Statistics, OHIR Vital Statistics Section, 2010-13",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,1.6,"Houston, TX","Percentage of births under 2,500 grams.","Percent in Harris County. Source: Texas Birth Statistics for Harris. Available at http://soupfin.tdh.state.tx.us/birth05.htm.Accessed on May 20, 2015online.",,"Harris County data, not just Houston",,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,6.5,"San Diego County, CA","Percentage of births under 2,500 grams.","Source: State of CA, Department of Public Health, Health Information and Research Center, Birth Statistical Master File, 2010?2012. County of San Diego, Health & Human Services Agency, Public Health Services, Maternal, Child, and Family Heath Services",,Data includes 2010-2012. Births with unknown birth weight are not included.,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,8.6,"San Diego County, CA","Percentage of births under 2,500 grams.","Source: State of CA, Department of Public Health, Health Information and Research Center, Birth Statistical Master File, 2010?2012. County of San Diego, Health & Human Services Agency, Public Health Services, Maternal, Child, and Family Heath Services",,Data includes 2010-2012. Births with unknown birth weight are not included.,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,10.6,"San Diego County, CA","Percentage of births under 2,500 grams.","Source: State of CA, Department of Public Health, Health Information and Research Center, Birth Statistical Master File, 2010?2012. County of San Diego, Health & Human Services Agency, Public Health Services, Maternal, Child, and Family Heath Services",,Data includes 2010-2012. Births with unknown birth weight are not included.,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,5.7,"San Diego County, CA","Percentage of births under 2,500 grams.","Source: State of CA, Department of Public Health, Health Information and Research Center, Birth Statistical Master File, 2010?2012. County of San Diego, Health & Human Services Agency, Public Health Services, Maternal, Child, and Family Heath Services",,Data includes 2010-2012. Births with unknown birth weight are not included.,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,7.4,"Fort Worth (Tarrant County), TX","Percentage of births under 2,500 grams.",Texas Department of State Health Services,,Tarrant County (not just Fort Worth),,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,6.5,"Los Angeles, CA","Percentage of births under 2,500 grams.","California Department of Public Health, Center for Health Statistics, OHIR Vital Statistics Section, 2010-13",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,13.3,"Los Angeles, CA","Percentage of births under 2,500 grams.","California Department of Public Health, Center for Health Statistics, OHIR Vital Statistics Section, 2010-13",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,12.2,"Phoenix, AZ","Percentage of births under 2,500 grams.",National Vital Statistical Reports Birth: Prelim Data,,Mothers race and residential zip code were used to stratify data,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,9.5,"Phoenix, AZ","Percentage of births under 2,500 grams.",National Vital Statistical Reports Birth: Prelim Data,,Mothers race and residential zip code were used to stratify data,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,9.1,"Fort Worth (Tarrant County), TX","Percentage of births under 2,500 grams.",Texas Department of State Health Services,,Tarrant County (not just Fort Worth),,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,6.9,"Fort Worth (Tarrant County), TX","Percentage of births under 2,500 grams.",Texas Department of State Health Services,,Tarrant County (not just Fort Worth),,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,14.7,"Fort Worth (Tarrant County), TX","Percentage of births under 2,500 grams.",Texas Department of State Health Services,,Tarrant County (not just Fort Worth),,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,8.4,"Fort Worth (Tarrant County), TX","Percentage of births under 2,500 grams.",Texas Department of State Health Services,,Tarrant County (not just Fort Worth),,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,7.5,"San Diego County, CA","Percentage of births under 2,500 grams.","Source: State of CA, Department of Public Health, Health Information and Research Center, Birth Statistical Master File, 2010?2012. County of San Diego, Health & Human Services Agency, Public Health Services, Maternal, Child, and Family Heath Services",,Data includes 2010-2012. Births with unknown birth weight are not included.,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,5.5,"San Diego County, CA","Percentage of births under 2,500 grams.","Source: State of CA, Department of Public Health, Health Information and Research Center, Birth Statistical Master File, 2010?2012. County of San Diego, Health & Human Services Agency, Public Health Services, Maternal, Child, and Family Heath Services",,Data includes 2010-2012. Births with unknown birth weight are not included.,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,American Indian/Alaska Native,6.3,"Phoenix, AZ","Percentage of births under 2,500 grams.",National Vital Statistical Reports Birth: Prelim Data,,American Indian alone; Mothers race and residential zip code were used to stratify data,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,7.6,"Phoenix, AZ","Percentage of births under 2,500 grams.",National Vital Statistical Reports Birth: Prelim Data,,Mothers race and residential zip code were used to stratify data,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,8.1,"Minneapolis, MN","Percentage of births under 2,500 grams.","Minnesota Department of Health, Vital Records","Multiple births were included in these analyses, consistent with Big Cities methodology. The City of Minneapolis (and Hennepin County) also produce analyses of low birth weight for singleton births only.",,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,8.6,"Oakland (Alameda County), CA","Percentage of births under 2,500 grams.","Alameda County Vital Statistics Files, 2010",,,,,7.9,9.4
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,9.1,"Oakland (Alameda County), CA","Percentage of births under 2,500 grams.","Alameda County Vital Statistics Files, 2010",,,,,7.1,11.6
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,13.4,"Oakland (Alameda County), CA","Percentage of births under 2,500 grams.","Alameda County Vital Statistics Files, 2010",,,,,11.4,15.3
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,6.6,"Oakland (Alameda County), CA","Percentage of births under 2,500 grams.","Alameda County Vital Statistics Files, 2010",,,,,5.5,7.8
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,6.3,"Seattle, WA","Percentage of births under 2,500 grams.","Washington State Department of Health, Center for Health Statistics (CHS), Birth Certificate Data, 1990-2016, Community Health Assessment Tool (CHAT), June 2017.",,,,,5.6,7.1
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,6.4,"Seattle, WA","Percentage of births under 2,500 grams.","Washington State Department of Health, Center for Health Statistics (CHS), Birth Certificate Data, 1990-2016, Community Health Assessment Tool (CHAT), June 2017.",,Includes multi-race,,,3.6,10.5
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,5.3,"Seattle, WA","Percentage of births under 2,500 grams.","Washington State Department of Health, Center for Health Statistics (CHS), Birth Certificate Data, 1990-2016, Community Health Assessment Tool (CHAT), June 2017.",,,,,3.6,7.5
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,7.6,"Seattle, WA","Percentage of births under 2,500 grams.","Washington State Department of Health, Center for Health Statistics (CHS), Birth Certificate Data, 1990-2016, Community Health Assessment Tool (CHAT), June 2017.",,,,,5.7,10.0
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,6.5,"Seattle, WA","Percentage of births under 2,500 grams.","Washington State Department of Health, Center for Health Statistics (CHS), Birth Certificate Data, 1990-2016, Community Health Assessment Tool (CHAT), June 2017.",,,,,5.9,7.2
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,11.0,"Cleveland, OH","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,7.9,"Boston, MA","Percentage of births under 2,500 grams.","Boston resident live births, MA Department of Public Health",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,8.8,"Denver, CO","Percentage of births under 2,500 grams.",Vital Records,,,,,8.2,9.4
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,12.8,"Denver, CO","Percentage of births under 2,500 grams.",Vital Records,,,,,10.6,15.1
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,14.6,"Denver, CO","Percentage of births under 2,500 grams.",Vital Records,,,,,12.4,16.8
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,7.5,"Denver, CO","Percentage of births under 2,500 grams.",Vital Records,,,,,6.7,8.4
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,11.3,"Denver, CO","Percentage of births under 2,500 grams.",Vital Records,,,,,6.3,16.4
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,8.2,"Denver, CO","Percentage of births under 2,500 grams.",Vital Records,,,,,7.3,9.0
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,6.2,"Oakland (Alameda County), CA","Percentage of births under 2,500 grams.","Alameda County Vital Statistics Files, 2010",,,,,4.9,7.7
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,6.6,"Minneapolis, MN","Percentage of births under 2,500 grams.","Minnesota Department of Health, Vital Records","Multiple births were included in these analyses, consistent with Big Cities methodology. The City of Minneapolis (and Hennepin County) also produce analyses of low birth weight for singleton births only.",,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Multiracial,8.3,"Minneapolis, MN","Percentage of births under 2,500 grams.","Minnesota Department of Health, Vital Records","Multiple births were included in these analyses, consistent with Big Cities methodology. The City of Minneapolis (and Hennepin County) also produce analyses of low birth weight for singleton births only.",,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,6.3,"Minneapolis, MN","Percentage of births under 2,500 grams.","Minnesota Department of Health, Vital Records","Multiple births were included in these analyses, consistent with Big Cities methodology. The City of Minneapolis (and Hennepin County) also produce analyses of low birth weight for singleton births only.",,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,American Indian/Alaska Native,9.4,"Minneapolis, MN","Percentage of births under 2,500 grams.","Minnesota Department of Health, Vital Records","Multiple births were included in these analyses, consistent with Big Cities methodology. The City of Minneapolis (and Hennepin County) also produce analyses of low birth weight for singleton births only.",American Indian alone,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,6.1,"Charlotte, NC","Percentage of births under 2,500 grams.",NC DHHS/SCHS/MCPH Epidemiology,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,9.5,"Boston, MA","Percentage of births under 2,500 grams.","Boston resident live births, MA Department of Public Health",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,8.6,"Boston, MA","Percentage of births under 2,500 grams.","Boston resident live births, MA Department of Public Health",,,,,,
